Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603_1608Metric,142.25,-106,0,top
C2,22uF,C_0603_1608Metric,138.5,-106,0,top
C3,22uF,C_0603_1608Metric,139,-113.5,0,top
C6,1uF,C_0603_1608Metric,129.75,-99.5,270,top
C7,10uF,C_1206_3216Metric,140,-92.25,90,top
C8,10uF,C_1206_3216Metric,140,-127.75,270,top
C9,10uF,C_1206_3216Metric,142.25,-92.25,90,top
C10,10uF,C_1206_3216Metric,142.25,-127.75,270,top
C11,22uF,C_0603_1608Metric,123.25,-112.5,90,top
C12,10uF,C_1206_3216Metric,144.5,-92.25,90,top
C13,10uF,C_1206_3216Metric,144.5,-127.75,270,top
C14,1nF,C_0603_1608Metric,133,-115.5,270,top
C15,1nF,C_0603_1608Metric,136.25,-111,270,top
C16,1nF,C_0603_1608Metric,136.25,-108,270,top
C17,1nF,C_0603_1608Metric,145.5,-108.25,270,top
C18,1nF,C_0603_1608Metric,142,-118.5,270,top
C19,1nF,C_0603_1608Metric,142.75,-116,0,top
C20,10uF,C_1206_3216Metric,178.25,-92.25,270,top
C21,10uF,C_1206_3216Metric,178.25,-127.75,90,top
C22,10uF,C_1206_3216Metric,175.75,-92.25,270,top
C23,10uF,C_1206_3216Metric,175.75,-127.75,90,top
C24,10uF,C_1206_3216Metric,173.25,-92.25,270,top
C25,10uF,C_1206_3216Metric,173.25,-127.75,90,top
C26,100nF,C_0603_1608Metric,127.75,-119,180,top
C27,100nF,C_0603_1608Metric,127.75,-109.75,0,top
C30,1nF,C_0603_1608Metric,171.5,-107.75,225,top
C31,1nF,C_0603_1608Metric,171.5,-112.25,315,top
C32,1uF,C_0603_1608Metric,124.25,-103.75,270,top
D5,1N4148,D_SOD-323,145.75,-120.75,180,top
D6,1N4148,D_SOD-323,146,-98,180,top
Q1,5551,SOT-23,121.75,-103.5,180,top
Q2,5401,SOT-23,145.75,-123.5,0,top
Q3,5551,SOT-23,146,-101.25,90,top
Q8,5551,SOT-23,142.5,-101.25,90,top
Q9,5401,SOT-23,140,-122,0,top
Q10,5551,SOT-23,142.5,-97.75,90,top
Q11,5551,SOT-23,121.75,-99.5,180,top
R1,10K,R_0603_1608Metric,124.25,-99.5,270,top
R2,22K,R_0603_1608Metric,128.25,-99.5,270,top
R3,2K,R_0603_1608Metric,129.75,-103.75,270,top
R4,10K,R_0805_2012Metric,143,-122,270,top
R5,20K,R_0805_2012Metric,139,-97,0,top
R6,1K,R_0603_1608Metric,137.5,-122,270,top
R7,0R1,R_1206_3216Metric,163,-130.75,270,top
R8,0R1,R_1206_3216Metric,151,-130.75,270,top
R9,1K,R_0603_1608Metric,145.5,-105,90,top
R10,2K,R_0603_1608Metric,130.25,-115.75,90,top
R11,10K,R_0603_1608Metric,133,-118.5,270,top
R12,0R1,R_1206_3216Metric,163,-99,90,top
R13,0R1,R_1206_3216Metric,151,-99,90,top
R14,1K,R_0603_1608Metric,142.5,-103.75,180,top
R15,100K,R_0603_1608Metric,134.5,-111,270,top
R16,100K,R_0603_1608Metric,134.5,-108,90,top
R17,120K,R_0603_1608Metric,143.5,-118.5,270,top
R18,120K,R_0603_1608Metric,142.75,-114.25,180,top
R19,10K,R_0603_1608Metric,174,-107.75,45,top
R20,2K,R_0603_1608Metric,147,-108.25,90,top
R21,750R,R_1206_3216Metric,112.75,-104,90,top
R22,10R,R_0603_1608Metric,139.5,-124.5,0,top
R23,2K,R_0603_1608Metric,133,-111,270,top
R24,2K,R_0603_1608Metric,145,-115.5,270,top
R25,12K,R_0603_1608Metric,178.5,-111.5,315,top
R28,750R,R_1206_3216Metric,115.25,-104,90,top
R29,20K,R_0805_2012Metric,139,-99,0,top
R30,2K,R_0603_1608Metric,133,-108,90,top
R31,2K,R_0603_1608Metric,146.5,-115.5,270,top
R32,12K,R_0603_1608Metric,176.25,-111.75,315,top
R34,10R,R_0603_1608Metric,142.5,-124.5,180,top
R35,12K,R_0603_1608Metric,174,-112.25,315,top
R36,1K,R_0603_1608Metric,130.25,-112.5,90,top
R37,0R1,R_1206_3216Metric,167,-99,90,top
R38,0R1,R_1206_3216Metric,155,-99,90,top
R39,0R1,R_1206_3216Metric,167,-130.75,270,top
R40,0R1,R_1206_3216Metric,155,-130.75,270,top
R47,10R,R_0603_1608Metric,139,-95.25,0,top
R48,10R,R_0603_1608Metric,147,-105,270,top
R49,10K,R_0603_1608Metric,178.5,-108.5,225,top
R50,10K,R_0603_1608Metric,176.25,-108.25,225,top
R51,1K,R_0603_1608Metric,136,-113.5,180,top
R52,220R,R_0603_1608Metric,146.25,-96.25,180,top
R53,220R,R_0603_1608Metric,148.25,-120.75,90,top
U1,MCP6002,SOIC-8_3.9x4.9mm_P1.27mm,140.75,-109.5,0,top
U2,MCP6002,SOIC-8_3.9x4.9mm_P1.27mm,137.5,-117,0,top
U3,TL431,SOT-23,127.25,-103.5,270,top
U4,MCP6002,SOIC-8_3.9x4.9mm_P1.27mm,126.75,-114.25,90,top
U5,HT7550,SOT-89-3,138.176,-102.616,90,top
U6,HT7550,SOT-89-3,133.096,-102.616,90,top
